Product: 'Maaza juice' | Image: '/static/images/slice.jpeg'
Product: 'Lays Chips' | Image: '/static/images/lays.jpeg'
Product: 'Britannia 50-50 Maska Chaska 105g' | Image: '/static/images/50 50 maska chaska.jpg'
Product: 'Softouch 2X French Perfume 2L Fabric Conditioner' | Image: '/static/images/softouch fabric conditiner.jpeg'
Product: 'Kwality Choco Flakes 1kg' | Image: '/static/images/choco flakes.jpeg'
Product: 'Boost Chocolate Nutrition Drink Powder 750g' | Image: '/static/images/boost.jpeg'
Product: 'Oreo Cadbury Chocolately Flavour crème Sandwich Biscuit, 288.75 Gram' | Image: '/static/images/oreo.jpeg'
Product: 'Ariel Matic Liquid Detergent 3.2 Ltr' | Image: '/static/images/ariel matic liquid detergent.jpg'
Product: 'Cadbury Bournvita Chocolate Nutriton Drink, 2 kg' | Image: '/static/images/bourn vita.jpeg'
Product: 'Vanish 800ml' | Image: '/static/images/vanish.jpeg'
Product: 'Dettol Liquid Hand Wash, 675ml' | Image: '/static/images/dettol.jpeg'
Product: 'Surf Excel Detergent Powder - 5kg' | Image: '/static/images/surf excel washing powder.jpg'
Product: 'Santoor Soap (Pack of 4)' | Image: '/static/images/santoor soap.jpg'
Product: 'Parachute Coconut Oil' | Image: '/static/images/parachute oil.jpg'
Product: 'Harpic 1 Litre (pack of 2)' | Image: '/static/images/harpic.jpg'
Product: 'Dabur Honey - 1Kg' | Image: '/static/images/dabur honey.jpeg'
Product: 'Mysore Sandal Soap, 450g' | Image: '/static/images/mysore sandal soap.jpeg'
Product: 'Colgate MaxFresh ToothPaste' | Image: '/static/images/colgate maxfresh.jpeg'
Product: 'Sunfeast yipee family pack' | Image: '/static/images/yippee noodles.jpeg'
Product: 'Dark fantasy choco fills' | Image: '/static/images/dark fantasy.jpeg'
Product: 'gold winner sunflower oil 1 L' | Image: '/static/images/gold winner.jpeg'
Product: 'Tata Salt 1kg' | Image: '/static/images/tata salt.jpeg'
Product: 'Goodday Biscuit' | Image: '/static/images/good day.jpeg'
Product: 'Tiger biscuit' | Image: '/static/images/tiger krunch.jpeg'
Product: 'Slice 1.75 L' | Image: '/static/images/slice.jpeg'
Product: 'lays potato chips, classic, 8 oz' | Image: '/static/images/lays.jpeg'
Product: 'Dabur Red Toothpaste - 800g (200gx4)' | Image: '/static/images/dabur red paste.jpeg'
